#Index Latitude Longitude Latency_ms NoOfHealthcareFacilities Source-City Median_Upload_Speed_Mbps_All_Measured_for_This_Year_2023
1 61.218056 -149.900284 46.56 44 Anchorage 10.65 
2 64.837776 -147.716385 49.91 9 Fairbanks 11.14
3 0 0 68.63 0 Utqiagvik 2.81
4 0 0 81.78 0 Atqasuk 4.36
5 0 0 63.10 0 Nuiqsut 5.87
6 0 0 599.37 0 Anaktuvuk_Pass 0.16
7 0 0 288.64 0 Ambler 1.44
8 0 0 172.36 0 Hughes 17.74
9 0 0 48.98 0 Tanana 9.32
10 0 0 630.23 0 Galena 0.01
11 0 0 78.37 0 Nome 9.75
12 0 0 70.74 0 Emmonak 2.18
13 0 0 70.56 0 Alakanuk 0.44
14 0 0 9.45 0 Shageluk 4.73
15 0 0 46.00 0 Knik 7.16
16 0 0 45.46 0 Chickaloon 12.53
17 0 0 51.41 0 Gakona 9.66
18 0 0 52.92 0 Copper_Center 6.40
19 0 0 59.74 0 Chitina 305.51
20 0 0 70.91 0 Bethel 0.47
21 0 0 69.00 0 Kwethluk 1.06
22 0 0 51.71 0 Kenaitze 9.08
23 0 0 52.97 0 Ninilchik 6.71
24 0 0 49.57 0 Tatitlek 27.57
25 0 0 62.15 0 Togiak 9.86
26 0 0 61.07 0 Dillingham 1.56
27 0 0 4.10 0 New_Stuyahok 1.19
28 0 0 78.33 0 St._Paul 3.79
29 0 0 48.20 0 St._George 0.12
30 0 0 582.97 0 Sand_Point 1.53
31 0 0 610.34 0 King_Cove 0.54
32 0 0 91.61 0 Unalaska 1.92
33 0 0 32.07 0 Skagway 2.89
34 0 0 4.96 0 Hoonah 1.92
35 0 0 32.90 0 Kake 3.89
36 0 0 40.13 0 Craig 1.84
37 0 0 37.10 0 Ketchikan 44.92
38 0 0 54.60 0 Annette_Island 0.68
