#Index Latitude  Longitude Latency(ms) NoOfHealthcareFacilities country city   
1 49.26932201 -123.0922913 181.55 458 Canada Vancouver   
2 33.7405 -84.3785 131.47 735 USA Atlanta/GA
3 52.27859523 104.2980435 131.02 219 Russia Irkutsk   
4 -21.18469064 -175.2149056 340.22 3 Tonga Veitongo   
5 49.88599505 -97.17274765 158.6 162 Canada Winnipeg   
6 -1.231757226 36.86182292 224.35 636 Kenya Nairobi   
7 42.40381839 -82.21771426 121.63 41 Canada Chatham   
8 14.5185 46.0505 41.03 160 Slovenia Ljubljana   
9 -33.94561055 18.47209358 178.07 184 South_Africa Cape_town   
10 51.28667087 -114.004646 179.65 60 Canada Airdrie   
11 50.08302641 14.42577879 21.14 686 Czechia Prague   
12 51.03996278 -113.4085622 207.12 1 Canada Strathmore   
13 -37.74465178 145.0542077 276.09 454 Australia Melbourne   
14 46.82129433 -71.2484359 116.91 245 Canada Qubec   
15 -41.24996265 174.7653779 304.96 54 New_zeland Ngaio   
16 -17.53946695 -149.5631253 274.18 38 French_Polynesia Papeete   
17 -33.85269857 151.1326446 295.48 150 Australia Sydney   
18 46.78317861 15.54721914 62.52 56 Austria Leibnitz   
19 -26.65659205 153.0641651 276.78 12 Australia Kuluin   
20 13.47513647 144.7530158 293.54 19 Guam Hagatna   
21 48.78309432 9.190962352 45.78 635 Germany Stuttgart   
22 -71.40532305 -70.14914098 860.98 3 Antartika Alexander_Island   
23 7.262903893 80.59814925 237.93 9 Sri_Lanka Peradeniya  
25 49.88629175 -119.4898323 196.22 43 Canada Kelowna   
26 39.0395 -77.4905 118.03 29 USA Ashburn/VA   
27 40.419497 -3.683008823 54.4 235 Spain Madrid   
28 -8.482160484 13.30382479 242.65 333 Angola Luanda
29 40.20355105 -8.412181588 78.87 76 Portugal Coimbra  
31 40.3469719 -8.598569989 99.56 8 Portugal Cantanhede   
32 -46.43302618 168.38593 316.31 5 New_Zeland Invercargill   
33 64.13840928 -21.87681125 80.12 96 Iceland Reykjavik   
34 -20.88566746 55.46570542 285.69 34 Reunion Saint_Denis   
35 41.30517667 69.23544876 124.94 412 Uzbekistan Tashkent   
36 61.218056 -149.900284 231.71 44 USA Anchorage/AK   
37 43.67142797 -79.38640156 136.79 360 Canada Toronto   
38 36.30331754 7.945456284 135.29 25 Algerie Souk_Ahras   
39 41.15580097 -8.626248369 69.8 206 Portugal Porto   
40 38.79388475 -9.106103497 74.16 6 Portugal Sacavém   
41 38.72295231 -9.141344188 73.96 320 Portugal Lisboa   
42 41.44436643 -8.294039469 69.57 22 Portugal Guimarães   
43 42.50603335 1.522983587 49.2 26 Andorra Andorra_la_Vella   
44 35.65634851 139.755266 254.56 892 Japan Tokio   
45 41.3175 19.8095 22.45 405 Albania Tirana   
46 41.40907508 2.184512785 75.25 1024 Barcelona Spain   
47 36.82864916 10.15945405 68.48 285 Tunis Tunisia   
48 64.837776 -147.716385 212.78 9 USA Fairbanks/AK   
49 32.3315 -86.1415 146.08 47 USA Montgomery/AL
50 34.6575 33.0205 93.167 149 Cyprus Limassol
51 37.6805 -121.7705 201.142 47 USA Livermore/CA
52 52.7905 -2.5615 76.4 10 UK Telford
53 52.9375 6.1315 53.31 2 Netherlands Oldeberkoop
54 52.5915 39.5305 102.91 209 Russia Lipeck
55 39.8495 3.0905 76.1 30 Spain Alcudia
    


